,1Title,2Product Url,3Price,4Brand,6Stock,7Description
0,"Kirei Kirei Anti-Bacterial Hand Wash Hand Soap, Refill 200ml Pack",https://shopee.sg/Kirei-Kirei-Anti-Bacterial-Hand-Wash-Hand-Soap-Refill-200ml-Pack-i.3272555.10786038944?sp_atk=b05065d9-47a4-43e8-8935-9a9e0497e183&xptdk=b05065d9-47a4-43e8-8935-9a9e0497e183,$1.44,Kirei Kirei,12k,"📢 Bundle of 6 Packs - Promotion 📢

You will be required to check-out minimally 6 packs to purchase and enjoy $8.70 bundle deal (@ $1.45 per pack).
With our additional 10% cashback, $1.30 per pack = $7.80 for 6 packets. (*Cashback may vary on period of sales)
Feel free to checkout any scents of your choice, we give you 100% flexibility of choice.

Wholesale (> 10 Packs and above)
You will get to enjoy it from $1.43-$1.44 per pack, what a great saving!

❤️ Product Description ❤️
Kirei Kirei Antibacterial Foaming Hand Soap provides strong protection against germs with antibacterial & antiseptic formulation from Lion Japan, yet is gentle on skin with 99% cleansing ingredients from plants. Dispenses creamy foam that helps to clean all parts of hand easily & more thoroughly than ordinary liquid hand soap.

- Uses IPMP, Isopropyl Methylphenol (anti-bacterial ingredient) to help provide safe anti-bacterial protection.
- Dispenses soft, creamy foam which cleanses more effectively & thoroughly than ordinary liquid hand soap.
- Gentle on skin with 100% cleansing ingredients from plants.

4 scents - Original/Lavender/Moisturizing Peach/Refreshing Grape

*Note: Packaging outlook may differ from batch to batch - no exchange/returns/refunds are allowed if it differs from image thumbnails.

🛒 Sales Campaign T&Cs 🛒
Please note the following:
1) Due to the huge surge in orders, please expect between 1-4 working days to process your orders (first-come-first-serve basis). 
2) All orders would be capped within courier's restriction to enhance efficiency and reduce processing time.
3) Strictly no cancellation/amendment is allowed after order has been processed.

📢 Purchase Policy 📢
Upon making full payment of your purchases with Diaper King, you agree and adhere to the purchase & return policies outlined here:

1) Once order has been processed, we do not accept any further change of mind (e.g. change of delivery address, change of order variation, input of vouchers).
2) Goods sold are non-refundable. All exchanges must be done in-person within 7 days of delivered date.
3) For usage of personal care essential products, apply at non-obvious skin area to test for allergies/irritations. We do not cover any adverse reactions with resultant of using our products.
4) We do not guarantee refunds/exchange of manufacturing defects - all cases would be reviewed individually.
5) Please check your orders upon receiving them. Any unintentional wrong delivery of items that are consumed would not be allowed for exchange.

📢 Exchange Policy 📢
1) Once the carton box is thrown or its individual packaging been opened, we strictly do not allow any exchange for hygiene purposes.
2) If your exchange doesn't meet our policy requirements (e.g. less than a full carton / consumed product / no carton box / etc), you will be politely rejected."
1,[COSRX OFFICIAL] Acne Pimple Master Patch (24 Patches) / AC Collection Acne Patch (26 Patches) / Clear Fit Master Patch (18 Patches),https://shopee.sg/-COSRX-OFFICIAL-Acne-Pimple-Master-Patch-(24-Patches)-AC-Collection-Acne-Patch-(26-Patches)-Clear-Fit-Master-Patch-(18-Patches)-i.116704504.5582104613?sp_atk=aa85b04e-55ff-437e-8e62-a0305d950989&xptdk=aa85b04e-55ff-437e-8e62-a0305d950989,$2.48 - $7.08,COSRX,21.4k,The products you ordered will be shipped directly from the COSRX headquarters of Korea.✈️
2,【SG Wholesale】BISUTANG Fruit Extract Plant Extract Facial Mask Moisturiser Mask Replenishment Purifying Nourishing,https://shopee.sg/%E3%80%90SG-Wholesale%E3%80%91BISUTANG-Fruit-Extract-Plant-Extract-Facial-Mask-Moisturiser-Mask-Replenishment-Purifying-Nourishing-i.79238364.8059058314?sp_atk=ea2237ea-b862-417d-8734-91174234c5e2&xptdk=ea2237ea-b862-417d-8734-91174234c5e2,$0.31,BISUTANG,39.2k,"Description:
Ready stock in SG! We will ship within 24 hours after your purchase and you will get within 2-5 working days depending on the delivery fleets

Product Specification:
Skin Type: All Skin Type
Quantity: 1 piece
Net Content: 25g
Country/Region of Manufacture : China
Expiry Date: Please refer to packaging label

8 Options for you to choose!
1. ALOE MOISTURIZING FACIAL MASK
2. BAMBOO REFRESHING REPLENISHMENT MASK
3. GREEN TEA PURIFYING MASK
4. HONEY REPLENISHMENT CONDENSATE MASK
5. ORANGE RUN NOURISHING MASK
6. RED POMEGRANATE ESSENCE SHINY MASK
7. RICE BEAUTY NOURISHING MASK
8. ROSE ICE SKIN MASK

How to Use:
1. Cleanse your skin before applying your face mask. 
2. Remove the sheet mask from its packaging and unfold it without tearing.
3. Line up the mask with your face shape, eyes, nose, and mouth.
4. Gently press the mask to the form of your face until it’s sticking evenly.
5. Detach the mask after 10-15 minutes.
6. Gently peel the mask from your face. Take your time and don’t pull hard to remove it from your skin.
7. Once the mask is off, pat lightly by hand to absorb remaining contents.
8. Proceed with your regular skin care routine. There’s no need to rinse.

Precautions:
1. Skin test behind ear before use to check for allergy.
2. Kindly stop using if there is any discomfort.
3. For external use only, avoid contacting with eyes and damaged skin. 
4. Keep away from infants and children.

Why buy from us?
✔️We are a local Singapore seller with ready stocks available
✔️We ship out within 24 hours
✔️We reply to all chat messages and inquiries
✔️We check our items for quality assurance
✔️Support the local SG seller community

#bisutang #facialmask #facial #mask #localsgseller #sgseller #supportlocal #supportsg #moisturizer #aloevera #bamboo #greentea #honey #orange #redpomegranate #pomegranate #rice #rose #essence #replenishment #purifying #nourishing #shiny"
3,Portable Mouthwash Stick Travel Sachet Mouth Wash Spray Gargle Breath Freshener,https://shopee.sg/Portable-Mouthwash-Stick-Travel-Sachet-Mouth-Wash-Spray-Gargle-Breath-Freshener-i.15618985.10723562955?sp_atk=6f9098e7-dcea-4fa7-b9fe-c56b7bd9f07a&xptdk=6f9098e7-dcea-4fa7-b9fe-c56b7bd9f07a,$0.15 - $0.18,,29.9k,"[ If there is a Minimum Order Quantity, feel free to mix and match the different options ]
[ If Seller Store Pickup option is chosen, please proceed to our warehouse for collection ]**Minimum Order Quantity 20**
Please order in multiples of 20
The price stated is for 1 Stick of 10ml

Mouthwash Stick【10ml Per Stick】
● Flavor: 【Peach】【Orange】【Mint】【Watermelon】【Grape】

● Using mouthwash correctly can freshen your breath, help prevent cavities and treat gingivitis
● Mouthwash fights bacteria that cause bad breath while reducing plaque and treating gingivitis
● Alcohol-free mouthwash formula for a less intense taste
● The power to kill germs that lead to bad breath, plaque, and gum disease
● For a whole mouth clean that reaches even the hidden corners of your mouth
● Don't rinse with water immediately after using mouthwash. The cleansing properties of mouthwash continue to work after you have to spit it out, and rinsing with water will dilute the wash and minimize these effects.
● Mouthwash is not a replacement for daily brushing and flossing. Use it as part of a full dental cleaning routine."
4,[SG Seller] Innisfree My real squeeze Mask - 20ml,https://shopee.sg/-SG-Seller-Innisfree-My-real-squeeze-Mask-20ml-i.311293430.14400774391?sp_atk=f693a7cb-ec50-4b5b-80e9-3bcb60ecf2e3&xptdk=f693a7cb-ec50-4b5b-80e9-3bcb60ecf2e3,$0.61,Innisfree,41.1k,"My Real Squeeze Masks come in 3 levels of hydration:
• Water base: Light & Fresh
• Essence base: Deeply Hydrating
• Cream base: Intensely Nourishing

Biodegradable
Made from 100% eucalyptus fibers


--Refreshing water-type real mask:
#Rose: Enriched with moisture from roses, leaves the skin looking smooth and radiant.
#Lime: Enriched with moisture from fresh limes, leaves the skin bright and transparent.
#Broccoli: Enriched with rich vitamins from broccoli, leaves dull skin clear and supple.
#Green Tea: Enriched with fresh moisture from delicately fragrant green tea, keeps dry skin moisturized.
#Tea Tree: Enriched with refreshing tea tree, leaves the skin clean and clear.
#Bamboo: Enriched with the abundant moisture of vitalising bamboo, leaves dry skin moisturised.


--Moisturising essence-type real mask:
#Pomegranate: Enriched with juicy pomegranates, leaves the skin plump and radiant.
#Manuka Honey: Enriched with nourishing manuka honey, thoroughly replenishes moisture on dry, rough skin.
#Fig: Enriched with rich vitamins thoroughly squeezed from figs, leaves dull skin smooth and clear.
#Cucumber: Enriched with fresh moisture from fragrant cucumbers, replenishes moisture on dry skin.
#Tomato: Enriched with abundant nourishment from well-ripened tomatoes, leaves tired skin clear and vibrant.
#Aloe: Enriched with moisture-rich aloe, protects tired skin against external stimulants to help soothe and calm skin.

--Rich cream-type real mask:
#Shea Butter: enriched with moisture-rich aloe, protects tired skin against external stimulants to help soothe and calm skin.
#Rice: Enriched with abundant nourishment from rice, leaves dull skin clear and transparent.
#Oatmeal: Enriched with nutrient-rich oatmeal, leaves rough, dry skin moisturized and smooth.
#Ginseng: Enriched with abundant nourishment from slightly bitter ginseng, brings vitality and energy to tired skin to leave it moisturised and healthy.
#Acai Berry: Enriched with abundant nourishment of thoroughly squeezed acai berries, leaves the skin resilient and full of life.
#Coconut: Enriched with full-bodied juice thoroughly squeezed from coconuts, leaves rough, dry skin moisturised and smooth."
5,Foot Detox Patch Lao Beijing Feet Patches Herbal Plaster Pad Detoxification Mask Spa Bath Soak Ginger,https://shopee.sg/Foot-Detox-Patch-Lao-Beijing-Feet-Patches-Herbal-Plaster-Pad-Detoxification-Mask-Spa-Bath-Soak-Ginger-i.15618985.10905625823?sp_atk=f758247a-d445-4359-9ea1-65f22d972897&xptdk=f758247a-d445-4359-9ea1-65f22d972897,$0.11,,19.4k,"[ If there is a Minimum Order Quantity, feel free to mix and match the different options ]
[ If Seller Store Pickup option is chosen, please proceed to our warehouse for collection ]

【Foot Detox Patch】

Per Qty Order is for 1 Patch
Minimum Order Qty is 50 patches
Order in multiples of 50, 100, 150, 200, 250, 300

The primary effect of the foot detox patch is detoxification. The patches will absorb your toxins after using them for the whole night. You can see that from the changing of the color after using it. 

The dirtier you see the footpad, the more toxins it has absorbed. After consistently using for a period, they will become cleaner each morning. 

That means most of the toxins in your body have been released already. Apart from your feet, you can also apply these detox foot pads onto other parts of your body, including the back, knees, elbows, etc.

Benefits of the Detox Foot Pads:
● Release unwanted toxins.
● Increase your energy level.
● Reduce aches, pains, headaches, & tiredness.
● Relieve stress.
● Improve your metabolism.
● Improve your blood circulation.
● Improve weight loss.
● Totally discreet - Works while you sleep.
● Simple and Easy to use."
6,[ETUDE HOUSE] Fixing Tint 4g / 11 Shades,https://shopee.sg/-ETUDE-HOUSE-Fixing-Tint-4g-11-Shades-i.114919380.8551011670?sp_atk=f15fb3b4-7e9d-48d7-948b-e4dbfa6cb3c1&xptdk=f15fb3b4-7e9d-48d7-948b-e4dbfa6cb3c1,$7.70,Etude House,33.9k,"[ETUDE HOUSE] Fixing Tint 4g / 11 Shades


Feature
Hydrating tint that stains less on your mask with a lightweight matte finish.
Weightless & Matte.
Smudge-proof even in medical face mask.
*lasting time and smudge-proof effect may different by person.


Volume
4g

Color Options
#1 Analog Rose
#2 Vintage Red
#3 Mellow Peach
#4 Ginger Milktea
#5 Midnight Mauve
#6 Soft Walnut
#7 Cranberry Plum 
#8 Dusty Beige 
#10 Smoky Cherry (New)
#11 Rose Blending (New)
#12 Salmon Brick (New)

How To Use
Apply a proper amount on lips and smudge it. Dry it completely for a better adherance and long-lasting."
7,[SG READY STOCK] Nature Republic Real Nature Mask Sheet 23ml Ship from Korea,https://shopee.sg/-SG-READY-STOCK-Nature-Republic-Real-Nature-Mask-Sheet-23ml-Ship-from-Korea-i.62211483.14630429769?sp_atk=bf62a0df-2545-46de-bfe4-50bc321daee1&xptdk=bf62a0df-2545-46de-bfe4-50bc321daee1,$0.68 - $1.20,Nature Republic,5.4k,"🚚  All our products are In stock
🚚  All orders will be shipped out within 36 hours

💥 Random FREE GIFT for purchase more than 50 sheets 💥

💠    9 Types: 
1. Avocado : The enhanced nourishing mask sheet. Formulated with Mexican avocado extracts.
2. Aloe Vera :The moisturising and soothing mask sheet. Formulated with Aloe extract, which contains rich moisture. Sooth and moist skin.  
3. Green tea :The moisturising and purifying mask sheet. Formulated with Bosung green tea extract.
4. Tomato : The whitening mask sheet. Formulated with Jangsoo tomato extract. 
5. Acai Berry : The firming mask sheet. This mask sheet delivers rich nourishment to the skin.
6. Bamboo : The purifying and moisturising mask sheet. Formulated with Bamboo extract.
7. Cucumber : The Enhanced moisturizing mask sheet. Fomulated with cucumber extract which delivers rich moisture to the skin. 
8. Chamomile : The enhanced nourishing mask sheet. Fomulated with Chamomile extract. 
9. Olive : The rich extract makes your skin elastic and tight. Fomulated with Rich Olive extract.

Click ""FOLLOW"" our Shop to enjoy exclusive follower vouchers 😊
Stay updated & be inform of our new arrivals !!!
#ladymavia  #sglocalbusiness"
8,[SG READY STOCK!] BISUTANG Plant Fruit Extract Peel Off Facial Sheet Mask,https://shopee.sg/-SG-READY-STOCK!-BISUTANG-Plant-Fruit-Extract-Peel-Off-Facial-Sheet-Mask-i.298190389.7447973937?sp_atk=6d021647-37ab-4e35-af31-dd72ec07fab7&xptdk=6d021647-37ab-4e35-af31-dd72ec07fab7,$0.32,BISUTANG,56.9k,"👋Hello. Welcome to ApplePine!

💖Daily Skincare Routine for Healthy Skin💖

❤️Product Introduction:❤️
BISUTANG Plant Fruit Extract Facial Sheet Mask (One-time Mask)
• Tencel Material
• Moisturizing, Nourishing, Hydrating
• Suitable For All Skin Type
• 1 Piece Per Pack
• Net Content 25ml
• Manufactured In China
• Best Before Date Refer Packing Label
• 8 Options
1. ALOE MOISTURIZING FACIAL MASK
2. BAMBOO REFRESHING REPLENISHMENT MASK
3. GREEN TEA PURIFYING MASK
4. HONEY REPLENISHMENT CONDENSATE MASK
5. ORANGE RUN NOURISHING MASK
6. RED POMEGRANATE ESSENCE SHINY MASK
7. RICE BEAUTY NOURISHING MASK
8. ROSE ICE SKIN MASK


❤️How to Use:❤️
1. Cleanse your skin before applying your face mask
2. Remove the sheet mask from its packaging and unfold it without tearing
3. Line up the mask with your face shape, eyes, nose, and mouth
4. Gently press the mask to the form of your face until it’s sticking evenly
5. Detach the mask after 10-15 minutes
6. Gently peel the mask from your face. Take your time and don’t pull hard to remove it from your skin
7. Once the mask is off, pat lightly by hand to absorb remaining contents
8. Proceed with your regular skin care routine. There’s no need to rinse


❤️Precautions:❤️
1. Skin test behind ear before use
2. Keep away from infant and children
3. If there is any discomfort, kindly stop using
4. Not edible, for external use only, avoid contact with eyes and damaged skin
5. Store in a cool place, avoid high temperature and direct sunlight


Thank you🤟"
9,[SG SELLER] Innisfree / Lettobom My Real Squeeze Mask 20ml - Made in Korea | Ready Stocks,https://shopee.sg/-SG-SELLER-Innisfree-Lettobom-My-Real-Squeeze-Mask-20ml-Made-in-Korea-Ready-Stocks-i.62211483.9483233625?sp_atk=55df9950-e4cc-4dac-ac5f-f69071aafa50&xptdk=55df9950-e4cc-4dac-ac5f-f69071aafa50,$0.58 - $0.68,Innisfree,34.8k,"🚚  All our products are In stock
🚚  All orders will be shipped out within 12 hours

My Real Squeeze Masks come in 3 levels of hydration:
• Water base: Light & Fresh
• Essence base: Deeply Hydrating
• Cream base: Intensely Nourishing

Biodegradable
Made from 100% eucalyptus fibers

Add On: 3 Types of Lettobom Mask
1) Honey
2) Green Tea
3) Pomegranate

How to use:
1. After cleansing and toning, apply the mask evenly and smoothly over the entire face, avoiding the eye and lip area.
2. Remove mask after 10-20 minutes and gently pat the remaining residue for full absorption and longer lasting hydration.

Click ""FOLLOW"" our Shop to enjoy exclusive follower vouchers 😊
Stay updated & be inform of our new arrivals !!!
#ladymavia  #sglocalbusiness"
10,Dr Plant Facial Mask Alpine Plants Extract Face Mask Skincare Mask Natural/Moisturizing/Brightening/Anti-Aging 26ml 1p,https://shopee.sg/Dr-Plant-Facial-Mask-Alpine-Plants-Extract-Face-Mask-Skincare-Mask-Natural-Moisturizing-Brightening-Anti-Aging-26ml-1p-i.316157651.3856844275?sp_atk=a27a8297-8975-4943-84fa-29c060013c5a&xptdk=a27a8297-8975-4943-84fa-29c060013c5a,$0.48 - $2.50,DR PLANT,60.1k,"About Dr Plant

Since time immemorial, Chinese ladies of the imperial courts have known and valued the almost magical beauty-enhancing powers of rare Chinese herbs. Inspired by this centuries old tradition, DR PLANT concentrates on the cultivation, protection and research of these rare herbs, which are called in Chinese “Herbs of Immortality”. While we focus on exclusively using pure, natural ingredients, we combine the power of long-treasured Chinese “Herbs of Immortality” with the newest scientific research as well as Japanese technology to explore and reveal the ancient Chinese beauty secrets for the modern woman of today.

Dr Plant Natural Facial Mask / Dendrobium 1 Pcs
*【Natural Dendrobium Ingredients】The masks are infused with extracts of the dendrobium orchid natural botanical ingredients, which can moisturize, nourish, sooth and hydrate your skin.
*【Moisturizing & Anti-aging Face Mask】The masks are infused with yeast fermentation products which instantly hydrate and moisturize dry skin and stimulate collagen production.
*【Fit For a Variety of Skin Conditions】It is truly one size fits all. Suitable for a variety of skin conditions (Dry, Oily, Sensitive and Tired Skin)
*【Unique Fiber Technology】The masks are with Ultra-thin and extremely soft natural fiber cotton mask cloth.
*【Easy To Apply】After cleansing and toning your skin, unfold a single face mask sheet and gently spread it over your face, then peel off the protective layer. Leave on for 10-20 minutes, then remove the mask, gently patting your skin until the remaining serum is fully absorbed.

【Dendrobium Mask】
Targeting: 1. Dull skin, which is usually caused by staying up late.
                   2. Pre-mature skin which begins to age, and fine lines appear.

Effect: Data shows that continuous use it for 30 days: firming +12%, elasticity +42%, fine lines -21% and moisture +96% 

【Charcoal Mask】
Targeting: large pores, excessive oil, poor absorption, rough skin, skin with dark and yellow tone

Effect: The mask cloth is made of Binchyotan Charcoal, which is fine and porous, can effectively absorb impurities in the pores and promote nutrient absorption.

【Centella Mask】
Targeting: sensitive skin: thin cuticles, bloodshot skin.
         Peeling when in the change of seasons or after sunburn.
         Acne/ itching caused by wearing mask for a long time

Effect: Soothing: quickly soothes dry and sensitive skin
      Repairing: Repair skin redness, itching and tingling
      Keep balance: long-term use to stabilize the skin condition

【Snow Lotus Mask】
Recommended for: people have pigmentation or uneven skin tone as the age grows
                 people who usually expose to the scorching sun and have a dark complexion
                 people who often stay up late and have dull and rough skin

Effect: snow lotus for brightening; nicotinamide for suppressing dullness; 4 levels of hyaluronic acid for moisturizing and shiny

【Cordyceps Mask】
Recommended for: people over 35 years old and have mature skin

Targeting: collagen loss, inelasticity and wrinkles

Effect: deep nourishment, reduce lines, improve elasticity and skin tone
How to use:
Step 1 - Freshen your skin with toner after washing your face
Step 2 - Open pouch and place it on your face evenly
Step 3 - Leave the mask sheet on your face for 15-20 minutes
Step 4 - Remove the sheet. Gently tap your face to let the remaining contents absorb into your skin
 
Note:
1. Stop using if it causes any allergic reaction or any problems arising. 
2. Do not use on scars or any area of skin irritation. 
3. Avoid storing in high temperatures or exposed to direct sunlight. "
