,1Title,2Product Url,3Price,4Brand,6Stock,7Description
11,🌫👁😴蒸汽热敷眼罩Steam Hot Eye Mask Self Warming/Relieve Eye Fatigue/Warm Eye Mask/Steam Hot Compress Eye Shade/Herbal Eye Mask,https://shopee.sg/%F0%9F%8C%AB%F0%9F%91%81%F0%9F%98%B4%E8%92%B8%E6%B1%BD%E7%83%AD%E6%95%B7%E7%9C%BC%E7%BD%A9Steam-Hot-Eye-Mask-Self-Warming-Relieve-Eye-Fatigue-Warm-Eye-Mask-Steam-Hot-Compress-Eye-Shade-Herbal-Eye-Mask-i.365751627.8326807144?sp_atk=eb37edfa-bae9-499c-856a-65837d8f6d3b&xptdk=eb37edfa-bae9-499c-856a-65837d8f6d3b,$0.51,,21.5k,"👋🏻Welcome to Ęxclusive.sg 

【SG Seller - Ready Stock in SG】

💕没有丑女人，只有懒女人💕
👉🏻There are no ugly women, only lazy women

❤️Daily Eye Care Routine❤️

Offering different brands & variations catering to different needs. 

✨Steam Hot Compress Eye Shade helps to relieve eye fatigue and lighten dark eye circle with the use of steam heat in a pack.
 

✨Price is for 1 sachet
✨Net Content: 20g
✨Country of Origin: China
✨Expiry Date: 2024

Product Temperature range from 38 - 42 degrees celcius 

Brand:

【智暖ZHI NUAN 】- Mild scent, High Temp
1) Lavender 
2) Chamomile 
3) Grapefruit 
4) Mild Cologne 
5) Unscented 

【华佳美温HUA JIA MEI WEN】- Strong scent, High Temp 
1) Lavender
2) Chamomile 
3) Rose
4) Unscented 

【美部MEI BU】- Mild Scent, Med Temp 
1) Lavender 
2) Chamomile 
3) Rose 
4) Green Tea 
5) Grapefruit 
6) Unscented

【云本YUN BEN】- Light scent, Low to High Temp 
1) Jasmine - Med
2) Blossom - Low
3) Osmanthus - High
4) Gardenia - Med
5) Lavender - Med
6) Chamomile - Med
7) Rose - High
8) Unscented - Med

【袋鼠Dai Shu】- Mild scent, High Temp 
1) Lavender 
2) Chamomile 
3) Rose 
4) Grapefruit 

【盈都Ying Du】- Mild scent, Med Temp 
1) Lavender
2) Chamomile 
3) Grapefruit 

 【老北京LAO BEIJING 】- Strong scent, Med Temp
1) Wormwood 

This eye mask warms up by itself upon opening and generates a comfortable steam heat (around 40 degree Celsius) for approximately 25-30mins.

Directions of use:
1. Remove eye mask from pouch (mask begins to warm up by itself as soon as pouch is opened and takes 2 to 3 mins to reach around 40 degree Celsius). Use immediately once opened.

2. Tear along perforation, then place ear straps around ear.

3. Close your eyes and relax when using the mask. Temperature will begin to cool down around 25-30 mins time.


WARNING:
- Do not use this product if you have eye ailment or inflammation (open wound, selling, rash or any other skin problem) around the eyes.

- Children or those suffering from dementia should us this product under adult supervision at all times.

- Check with your physician before using this product if you are sensitive to heat, have diminished sensitivity to heat or are receiving medical treatment.

- Stop using and consult a doctor if you develop rashes, redness and itching or any other skin changes around the eyes after use.

- Do not use with other eye masks etc.

- Wait for a few minutes before using eye mask if eye drops are applied beforehand.

- Keep your eyes closed and do not press the eye mask against your eyes during application.

- Do not use a damaged eye mask.

- Do not reuse the eye mask after it has cooled down.

- Do not place hot water or attempt to heat up eye mask using other tools (oven etc).


😘Thank you and hope you enjoy the product!

#HotCompressEyeMask #SelfHeatingEyeMask #SelfWarmingEyeMask #Eye lMask #RelieveEyeFatigue #SteamHotEyeMask"
12,Beauty Essentials Livestream,https://shopee.sg/Beauty-Essentials-Livestream-i.332354960.3048410215?sp_atk=2bd7e736-74f0-4025-85e9-912db65227e6&xptdk=2bd7e736-74f0-4025-85e9-912db65227e6,$1.00 - $5.00,,21.7k,Top quality! Low price!
13,70g Underarm / Knee / Leg / Private Parts Skin Whitening Cream,https://shopee.sg/70g-Underarm-Knee-Leg-Private-Parts-Skin-Whitening-Cream-i.424294869.6387440703?sp_atk=5f3e1f3a-b04f-43ce-8e1b-37cec0fe3972&xptdk=5f3e1f3a-b04f-43ce-8e1b-37cec0fe3972,$3.39,,12.3k,"70g Underarm / Knee / Leg / Private Parts Skin Whitening massage Cream

Take an appropriate amount of cream and apply it on the desired area, gently massage for a few minutes, deep cleansing, locking in nutrients and moisture, creating a smooth and moisturizing skin, it is very effective for the dark and rough skin of the joints.
Effective in 28 days (it is recommended to buy at least 2 bottles)
Specifications:
Product Category: Body Lotion
Product Series: Artifacts for removing black joints
Net content: 70 (g/ml)
Cosmetic efficacy: control oil, shrink pores, hydrate, brighten skin tone, moisturize
Skin Type: General
Applicable people: general
Special purpose cosmetics: No
Shelf life: 3 years
Package Included:
1*Whitening Cream"
14,Laurier Sanitary Pads Super Slimguard / Relax Night / Pantyliner [Mix],https://shopee.sg/Laurier-Sanitary-Pads-Super-Slimguard-Relax-Night-Pantyliner-Mix--i.323430152.8645933579?sp_atk=1327bccd-909a-4a35-a1b9-8f9b9a376700&xptdk=1327bccd-909a-4a35-a1b9-8f9b9a376700,$0.95 - $3.25,Laurier,8.4k,"Price For 1 Pack

Laurier Super Slimguard
Amazingly absorbent yet comfortable and thin. Laurier Super Slimguard has exceptional absorbency, comfort and protection, all with 0.1cm ultra thinness. You are now free to pursue the activities you love and enjoy a good night's sleep even during heavy flow days! Be fearless 24/7!

0.1cm Thin Ultra Absorbent Sheet
It's so thin and comfortable that you barely feel it's there! Enjoy the freedom to wear whatever you want and feel confident and look fabulous even during that time of the month.

200x Ultra Absorbent
No flow is ever too heavy for this ultra absorbent sheet which can absorb 200x of fluid.

Speedy Absorbency
Enhanced with Japan's slit-core technology, it absorbs and lock in liquid instantly even during sudden gushes.

Ultra Dryness With High Breathability
Feel and stay comfortable with a quick dry surface that reduces up to 80%* of fluids on the surface

* Comparison with our company's previous range.

Super Ultra Slim 17cm, 20s
Super Slimguard 22.5cm, 20s
Super Slimguard 22.5cm with Safety Gathers, 14s
Super Slimguard 25cm, 16s
Super Slimguard 30cm, 14s
Super Slimguard 35cm, 8s

Laurier Active Day

Slim Non-Wing 22cm, 28s
Slim Wing 22cm, 28s
Maxi Wing 22cm, 20s
Maxi Non-Wing 22cm, 20s

Laurier Cleanfresh Slim Pantyliners
Helps you stay fresh and clean throughout the day with an Air Breathable Sheet and a ""Stay-Dry"" Surface.

Non-Perfumed, 40s
Perfumed (Fresh Floral), 40s"
15,[MEDIHEAL] Ampoule & Esssential Mask EX 1ea,https://shopee.sg/-MEDIHEAL-Ampoule-Esssential-Mask-EX-1ea-i.114919380.2614652923?sp_atk=90a13189-9306-4aa5-9458-caa95f08654d&xptdk=90a13189-9306-4aa5-9458-caa95f08654d,$1.15 - $1.45,MEDIHEAL,78.2k,"<[MEDIHEAL] Ampoule Mask EX & Esssential Mask EX> 

<Feature>
Daily mask used every day according to skin troubles that change day by day.

<Option>
N.M.F Aquaring 1ea
P.D.F A.C Dressing 1ea
I.P.I Lightmax 1ea
Teatree Care Solution 1ea
Collagen Impact 1ea
Placenta Revital 1ea
Vita Lightbeam 1ea

<Volume>
24ml~27ml

<How To Use>
1. After cleansing, trim the skin with lotion, take out the mask sheet, and apply it in order of forehead> nose> forehead, based on both eyes.
2. Pull up the incision line on your ears and tighten the ball around the cheek.
3. Allow sufficient rest until the liquid is dry enough, then remove the mask. (Due to the nature of the mask sheet, once the liquid is sufficiently absorbed, you will feel a good fit due to the natural shrinkage of the sheet.)
4. Lightly tap the remaining liquid to absorb.

#MEDIHEAL #Ampoule #Mask #REX #Esssential #Yaocos #Wholesale #Korea #Cosmetic #Authentic"
16,COSRX Acne Pimple Master Patch / Clear Fit Master Patch / AC Collection Patch,https://shopee.sg/COSRX-Acne-Pimple-Master-Patch-Clear-Fit-Master-Patch-AC-Collection-Patch-i.224831920.5219444924?sp_atk=bf5fae7f-9ca0-4c38-9cb0-902d8a17f837&xptdk=bf5fae7f-9ca0-4c38-9cb0-902d8a17f837,$2.54 - $16.20,COSRX,71.5k,"Acne Pimple Master Patch 24 Patches

Description

1. Hydrocolloid protects wounds from dust and viruses in the air. 2. Emergency & Versatile & Concentrated care with various sizes – 7mm, 10mm, 12mm. 3. Convenient use. 4. Low irritation. 5. Clear – It is fine to put on makeup when you go out.
Suggest Use
1. Cleanse the area around acne blemishes, pimple and completely dry the area. 2. Select a patch of a bigger size of acne blemishes, pimple and attach the patch to the area. 3. Do not change the patches until the size of the acne blemishes, pimple gets reduced, so that the patch can absorb the impurities sufficiently. 
CAUTION 
For external use only. Avoid contact with eyes, Discontinue use if signs of irritation or rashes appear. Keep out of reach of children.

Clear Fit Master Patch 18 Patches

Description

Ultra-thin hydrocolloid patch covering in gradient form
*Tip
After cleansing the Skincare step If you stick to the area of the skin that you want to conceal, the adhesion will be even higher.

* Differences between the Acne Pimple Master Patch and the Clear Pit Master Patch
- The Acne Pimple Master Patch is made up of various sizes, It can be used on various size wound areas and is excellent for absorbing scars.
- It is a thin patch that covers the skin in the form of gradient as well as absorbing the wound.
- When applying patches and makeup, patches are not visible.

AC Collection Acne Patch 26 Patches

The AC Collection Acne Patch is an oval-shaped, highly adhesive acne patch suitable for covering several adjacent acne spots at once. These hydrocolloid patches infused with Centella Asiatica soothe and calm inflammation in acne, reduce chances of scarring and fight pimples before they fully form. Coming in three different sizes, these patches are perfect for use on face acne or even acne on the body. The innovative design of the patches ensures strong adhesion, and because of the thinner border, the patches better adhere to the curves of the face. 

Suggested Use
1. Remove the patches from the film and attach them to the fully dried lesion.
2. Replace the patches as they become white due to the preservation of exudates.
#cosrx #skincare #makeup #beauty #korean #toner #cleanse #treatment #facial #mask #pimple #patch #acne"
17,[Medicube Official] Ringer Mask,https://shopee.sg/-Medicube-Official-Ringer-Mask-i.140962220.2167665725?sp_atk=9754bfe0-8a9f-453b-b207-39954b689d65&xptdk=9754bfe0-8a9f-453b-b207-39954b689d65,$3.98 - $12.74,medicube,16.3k,"*Moisture Hydra Ringer Mask may not come in a box!*

Product Description:
Specialized masks made to provide emergency skin care treatment to sensitive skin! 
1. Moisture Hydra Ringer Mask (Blue): A deep hydrating and moisture care mask with 5 layers of hyaluronic acid
2. Revital Nourishing Ringer Mask (Yellow): A nourishing mask with honey and propolis extract for added moisture
3. Shining Toning Ringer Mask (Pink): A toning mask that helps provide vitamins B, C, and E for clearer, radiant skin.
4. Relax Calming Mask (Green): A soothing mask to create healthy skin with boosted vitality.
 
Key Effects
Soothe irritated skin while providing added effects like hydration, moisture locking, brightening, and anti aging. 

Key Ingredients
1. Moisture Hydra Ringer Mask (Blue): Hyaluronic Acid, Panthenol, Moist-Dew, Trehalose
2. Revital Nourishing Ringer Mask (Yellow): Honey extract, Royal jelly extract, Propolis extract, Peptide, Adenosine
3. Shining Toning Ringer Mask (Pink): Vitamin G, Glutathione, Vitamin B, Vitamin C, Vitamin E 
4. Relax Calming Mask (Green): Tea tree extract, Tea tree leaf oil, Centella asiatica extract 

<How To Use>
Step 1. Prepare skin by cleansing and applying toner. 
Step 2. After opening the mask packet, apply to the enter face and adjust to fit. 
Step 3. Leave it on for 10 to 20 minutes and remove. 
Step 4. Gently pat any remaining essence into the skin to help it absorb. "
18,[Dr.Jart+] Dermask Solution Mask Line 5pcs,https://shopee.sg/-Dr.Jart-Dermask-Solution-Mask-Line-5pcs-i.114919380.2655359383?sp_atk=07b0247e-e7a2-4056-aebf-e29bfe473a53&xptdk=07b0247e-e7a2-4056-aebf-e29bfe473a53,$9.70 - $11.50,Dr. Jart+,53.5k,"[Dr.Jart+] Cicapair Calming Mask 25g*5ea 
Plant-derived mask sheet that transfers directly to the ingredients of the centrum.

[Dr.Jart+] Dermask Intra Jet Firming Solution 28g*5ea
The combination of three ingredients ideal for strengthening elasticity, wrinkle improvement functional certification, helps to improve wrinkled skin.

[Dr.Jart+] Dermask Water Jet Vital Hydra Solution 25g*5ea
Contains Hyaluronic Acid and Seaweed Extracts. It is the soothing mask that gives the best care for your worries with the best ingredients and moisturizes sensitive skin that lacks moisture.

[Dr.Jart+] Dermask Water Jet Soothing Hydra Solution 25g*5ea
It is a soothing mask that gives the best care for alleviating areas with the best ingredients such as aloe vera and phytoncide which are good for calming effect and soothes moisture-sensitive sensitive skin.

[Dr.Jart+] Dermask Ultra Jet Porecting Solution 28g*5ea
It is a total pore care mask put in a powerful one bubble that fixes the pore.
The bubble removes even the wastes in the pores, creating a cleaner, clearer skin

[Dr.Jart+] Dermask Micro Jet Brightening Solution 30g*5ea
It is a powerful one-piece whitening functional mask that removes the darkness of the skin.
The skin is bright and brightly illuminated with an ideal raw material combination to help you concentrate your worries.

[Dr.Jart+] Dermask Intra Jet Wrinkless Solution 28g*5ea
It is a powerful single wrinkle-improving functional mask that controls wrinkles.

[Dr.Jart+] Dermask micro Jet Clearing Solution 27g*5ea
This silky, hydrating microfiber sheet mask—made of soft microfiber finer than a strand of hair—addresses trouble-prone complexions by soothing redness and inflamed skin from acne and preventing pigmentation.


[Dr.Jart+] Dermask Ultra Jet Peeling Solution 23g*5ea
Take care of keratin with sugar and peeling essence.
Peeling essence and pH balancing mask keep the rough skin clear and smooth.
It completes the bright and refreshing skin base.


[Dr.Jart+] V7 Brightening Mask 30g*5ea
7 vitamin complexes brighten up the skin, and Red Vitality Complex gives a pink vitality to brighten and brighten the skin.


[Dr.Jart+] Ceramidin Facial Barrier Mask 22g*5ea
Highly moisturizing mask sheet that helps recharge moisture and nourish care at once



How To Use
STEP 1 After cleansing, make up your skin with lotion.
STEP 2 Open the pouch, remove the film, and attach it to your face.
STEP 3 After about 10 to 20 minutes, remove the mask and gently tap the remaining essence on the skin to absorb."
19,"The Ordinary - Bestsellers - Niacinamide, Hyaluronic, Caffeine, Alpha Arbutin, Glycolic, Buffet, NMF, Salicylic, Retinol",https://shopee.sg/The-Ordinary-Bestsellers-Niacinamide-Hyaluronic-Caffeine-Alpha-Arbutin-Glycolic-Buffet-NMF-Salicylic-Retinol-i.641249.1768769438?sp_atk=06e1aee9-0e8a-4354-8bb7-29a17ef67be2&xptdk=06e1aee9-0e8a-4354-8bb7-29a17ef67be2,$8.53 - $47.75,The Ordinary,50.2k,"The Ordinary Bestsellers!

You may browse for other The Ordinary products at https://shopee.sg/hushsg 

Authentic & Reliable
• Our prices may not be the lowest but we take great care to ensure that the products we avail for purchase are authentic. We are a registered company in Singapore, and are committed to being accountable for the authenticity of the products we sell.

List of The Ordinary products that we sell:
1100% Cold-Pressed Virgin Marula Oil - 30ml
100% L-Ascorbic Acid Powder - 20g
100% Niacinamide Powder - 20g
100% Organic Cold-Pressed Borage Seed Oil - 30ml
100% Organic Cold-Pressed Moroccan Argan Oil - 30ml
100% Organic Cold-Pressed Rose Hip Seed Oil  - 30ml
100% Organic Virgin Chia Seed Oil - 30ml
100% Plant-Derived Hemi-Squalane - 30ml
100% Plant-Derived Squalane - 30ml
Alpha Arbutin 2% + HA - 30ml
Amino Acids + B5 - 30ml
Argireline Solution 10% - 30ml
Ascorbic Acid 8% + Alpha Arbutin 2% - 30ml
Ascorbyl Glucoside Solution 12% - 30ml
Ascorbyl Tetraisopalmitate Solution 20% in Vitamin F - 30ml
Behentrimonium Chloride 2% Conditioner - 240ml
""B"" Oil - 30ml
Buffet - 30ml
Buffet - 60ml
""Buffet"" + Copper Peptides 1% - 30ml
Caffeine Solution 5% + EGCG - 30ml
Dropper - 1pc
Ethylated Ascorbic Acid 15% Solution - 30ml
EUK 134 0.1% - 30ml
Glycolic Acid 7% Toning Solution - 240ml
Granactive Retinoid 2% Emulsion - 30ml
Granactive Retinoid 2% in Squalane - 30ml
Granactive Retinoid 5% in Squalane - 30ml
High-Adherence Silicone Primer - 30ml
High-Spreadability Fluid Primer - 30ml
Hyaluronic Acid 2% + B5 - 30ml
Hyaluronic Acid 2% + B5 - 60ml
Lactic Acid 10% + HA - 30ml
Lactic Acid 5% + HA - 30ml
Magnesium Ascorbyl Phosphate 10% - 30ml
Mandelic Acid 10% + HA - 30ml
Marine Hyaluronics - 30ml
Matrixyl 10% + HA - 30ml
Mineral UV Filters SPF 15 with Antioxidants - 50ml
Mineral UV Filters SPF 30 with Antioxidants - 50ml
Multi-Peptide Serum for Hair Density - 60ml
Natural Moisturizing Factors + HA - 30ml
Natural Moisturizing Factors + HA - 100ml
Natural Moisturizing Factors + HA for Scalp - 60ml
Niacinamide 10% + Zinc 1% - 30ml
Niacinamide 10% + Zinc 1% - 60ml
Niacinamide 10% + Zinc 1% (Korea Retail Version) - 30ml
Pycnogenol 5% - 15ml
Resveratrol 3% + Ferulic Acid 3% - 30ml
Retinol 0.2% in Squalane - 30ml
Retinol 0.5% in Squalane - 30ml
Retinol 1% in Squalane - 30ml
Salicylic Acid 2% Masque - 50ml
Salicylic Acid 2% Solution - 30ml
Squalane Cleanser - 30ml
Squalane Cleanser - 150ml
Sulphate 4% Cleanser for Body and Hair - 240ml
Vitamin C Suspension 23% + HA Spheres 2% - 30ml
Vitamin C Suspension 30% in Silicone - 30ml"
20,"💞The Ordinary💞 Niacinamide, Hyaluronic, Caffeine, Alpha Arbutin, Retinol, Vitamin C, Buffet, Salicylic, Glycolic",https://shopee.sg/%F0%9F%92%9EThe-Ordinary%F0%9F%92%9E-Niacinamide-Hyaluronic-Caffeine-Alpha-Arbutin-Retinol-Vitamin-C-Buffet-Salicylic-Glycolic-i.13229849.6215148848?sp_atk=7f3fc4c3-777a-4789-89df-8165720f0f6f&xptdk=7f3fc4c3-777a-4789-89df-8165720f0f6f,$10.56 - $32.15,The Ordinary,33.3k,"💞Authentic
💞Brand New
💞Instock
💞Imported from Canada. Expiry dates may/may not be printed on product as it's not required by Health Canada.
What is the expiry date of the product?
Once opened, please refer to PAO (period upon opening), eg. 3M upon opening.
If not stated, the recommended usage is 1 year upon opening. 

If unopened, please refer to expiry dates written on product. 
If expiry dates are unstated, please contact us for help.

Our products have a minimum of 6 months shelf life before expiring.

List of The Ordinary Products:

Antioxidants:
The Ordinary Pycnogenol 5% 30ml
The Ordinary Resveratrol 3% + Ferulic Acid 3% 30ml

Cleansers:
The Ordinary Squalane Cleanser 50ml

Colours: 
The Ordinary High-Adherence Silicone Primer 30ml

Direct Acids: 
The Ordinary Glycolic Acid 7% Toning Solution 240ml
The Ordinary Lactic Acid 10% + HA 30ml
The Ordinary Lactic Acid 5% + HA 30ml 
The Ordinary Mandelic Acid 10% + HA 30ml
The Ordinary Salicylic Acid 2% Masque 50ml
The Ordinary Salicylic Acid 2% Anhydrous Solution 30ml

Hair Care:
The Ordinary Multi-Peptide Serum for Hair Density 60ml

Hydrators and Oils:
The Ordinary 100% Organic Cold-Pressed Moroccan Argan Oil 30ml 
The Ordinary 100% Organic Cold-Pressed Rose Hip Seed Oil 30ml 
The Ordinary 100% Plant-Derived Squalane 30ml
The Ordinary Amino Acids + B5 30ml
The Ordinary Hyaluronic Acid 2% + B5 30ml 
The Ordinary Hyaluronic Acid 2% + B5 60ml
The Ordinary Marine Hyaluronics 30ml
The Ordinary Natural Moisturising Factors + HA 30ml 
The Ordinary Natural Moisturising Factors + HA 100ml

More Molecules: 
The Ordinary Alpha Arbutin 2% + HA 30ml
The Ordinary Alpha Arbutin 2% + HA 60ml
The Ordinary Caffeine Solution 5% + EGCG 30ml
The Ordinary Niacinamide 10% + Zinc 1% 30ml  
The Ordinary Niacinamide 10% + Zinc 1% 60ml

Peptides:
The Ordinary Buffet 30ml 
The Ordinary Argireline Solution 10% 30ml
The Ordinary Matrixyl 10% + HA 30ml

Retinoids:
The Ordinary Granactive Retinoid 2% Emulsion 30ml
The Ordinary Granactive Retinoid 2% in Squalane 30ml 
The Ordinary Granactive Retinoid 5% in Squalane 30ml 
The Ordinary Retinol 0.2% in Squalane 30ml 
The Ordinary Retinol 0.5% in Squalane 30ml 
The Ordinary Retinol 1% in Squalane 30ml  

Suncare:
The Ordinary Mineral UV Filters SPF 15 with Antioxidants 50ml
The Ordinary Mineral UV Filters SPF 30 with Antioxidants 50ml

Vitamin C:
The Ordinary 100% L-Ascorbic Acid Powder 20g
The Ordinary Ascorbic Acid 8% + Alpha Arbutin 2% 30ml
The Ordinary Ascorbyl Glucoside Solution 12% 30ml 
The Ordinary Vitamin C Suspension 23% + HA Spheres 2% 30ml 
The Ordinary Vitamin C Suspension 30% in Silicone 30ml"
